Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
35,0.000357876,12.143107,1.529741
35.1,0.000358874,12.077387,1.534093
35.2,0.000359875,12.220263,1.539752
35.3,0.000360869,12.239485,1.547117
35.4,0.000361873,12.124802,1.553365
35.5,0.00036288,12.173609,1.558567
35.6,0.000363877,12.193568,1.563234
35.7,0.000364876,12.208404,1.568963
35.8,0.000365876,12.174969,1.573221
35.9,0.000366869,12.161222,1.58061
36,0.000367863,12.198896,1.586489
36.1,0.000368866,12.218239,1.592209
36.2,0.000369864,12.123869,1.597703
36.3,0.000370873,12.22766,1.603999
36.4,0.000371875,12.22783,1.609803
36.5,0.000372879,12.218847,1.61614
36.6,0.000373874,12.230735,1.62098
36.7,0.000374877,12.240454,1.627197
36.8,0.000375879,12.251272,1.632863
36.9,0.000376867,12.243189,1.639132
37,0.000377876,12.171266,1.644596
37.1,0.000378873,12.283118,1.650153
37.2,0.000379868,12.18897,1.654834
37.3,0.000380873,12.220326,1.66183
37.4,0.000381872,12.244899,1.667478
37.5,0.00038287,12.270148,1.672224
37.6,0.000383869,12.288224,1.678205
37.7,0.000384868,12.280603,1.683618
37.8,0.000385874,12.220886,1.68979
37.9,0.000386876,12.237105,1.696416
38,0.00038787,12.156461,1.700735
38.1,0.000388871,12.200093,1.706698
38.2,0.000389871,12.290314,1.714479
38.3,0.000390871,12.260026,1.720749
38.4,0.000391874,12.296066,1.72756
38.5,0.000392868,12.288218,1.732328
38.6,0.000393873,12.315324,1.737354
38.7,0.000394873,12.262292,1.744049
38.8,0.000395886,12.314788,1.747054
38.9,0.000396877,12.288491,1.75278
39,0.00039788,12.270938,1.7586
39.1,0.000398872,12.325638,1.76303
39.2,0.000399866,12.353594,1.771414
39.3,0.000400871,12.350785,1.777111
39.4,0.000401876,12.315699,1.781931
39.5,0.000402871,12.369051,1.78988
39.6,0.000403872,12.335964,1.794456
39.7,0.000404872,12.36206,1.800525
39.8,0.000405876,12.319685,1.806227
39.9,0.000406873,12.377172,1.810437
40,0.000407875,12.360907,1.817561
40.1,0.000408873,12.379988,1.823201
40.2,0.000409866,12.318668,1.829013
40.3,0.000410869,12.34559,1.835575
40.4,0.000411867,12.391616,1.841333
40.5,0.00041287,12.476063,1.846993
40.6,0.000413858,12.350972,1.852928
40.7,0.000414871,12.456429,1.858995
40.8,0.00041588,12.494963,1.86458
40.9,0.000416874,12.411267,1.868152
41,0.000417882,12.41784,1.872403
41.1,0.000418879,12.42088,1.878524
41.2,0.00041988,12.393541,1.887241
41.3,0.000420861,12.434396,1.893627
41.4,0.000421881,12.455062,1.899286
41.5,0.000422881,12.448214,1.904089
41.6,0.000423865,12.54825,1.909775
41.7,0.00042487,12.465415,1.916158
41.8,0.000425865,12.450636,1.923305
41.9,0.000426869,12.431837,1.928496
42,0.000427871,12.459958,1.934213
42.1,0.000428874,12.457431,1.939836
42.2,0.000429868,12.432937,1.944702
42.3,0.000430862,12.511851,1.95195
42.4,0.000431865,12.393452,1.957368
42.5,0.00043287,12.451795,1.962943
42.6,0.000433866,12.440755,1.968479
42.7,0.000434864,12.437049,1.974372
42.8,0.000435872,12.469257,1.979274
42.9,0.000436876,12.423426,1.986757
43,0.000437879,12.451744,1.991127
43.1,0.000438876,12.422211,1.997165
